Owner,Number of Stocks,Total Cost,Unrealized P&L,Unrealized %,Realized P&L,cashbalance start,Cash Balance,Net Asset Value,Max NAV,Min NAV,Max Drawdown (%),Relative Drawdown,Calmar Ratio,Previous Day Max DD (%),Number of Wins,Number of Sells,Win Rate,Return rate,Saved At,Daily Ticks Time
FemboyLover_Hybrid,0,0,0,0,0.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,0,0.0,0,0,0,0,0,0.0,2025-11-30 20:41:13,2025-11-10 00:00:00
FemboyLover_Hybrid,0,0,0,0,9223003.75,10000000.0,19223003.75,19223003.75,19223003.75,19223003.75,-6.26,-0.06256365553946236,14.741791646369741,-6.26,897,898,99.9,92.2300374598,2025-11-30 20:41:31,2025-11-11 00:00:00
FemboyLover_Hybrid,0,0,0,0,9178118.02,19223003.75,19178118.02,19178118.02,19238902.8,18588925.12,-6.26,-0.06256365553946236,14.670047550550894,-6.26,898,904,99.3,91.78118017,2025-11-30 20:41:54,2025-11-12 00:00:00
FemboyLover_Hybrid,0,0,0,0,9211010.68,19178118.02,19211010.68,19211010.68,19236417.05,18611419.63,-6.26,-0.06256365553946236,14.722622267084931,-6.26,902,910,99.1,92.1101068156,2025-11-30 20:42:25,2025-11-13 00:00:00
FemboyLover_Hybrid,0,0,0,0,9196186.16,19211010.68,19196186.16,19196186.16,19222345.45,18585314.09,-6.26,-0.06256365553946236,14.698927164894735,-6.26,904,915,98.8,91.9618615944,2025-11-30 20:42:46,2025-11-14 00:00:00
FemboyLover_Hybrid,0,0,0,0,9196186.16,19196186.16,19196186.16,19196186.16,19196186.16,19196186.16,-6.26,-0.06256365553946236,14.698927164894735,-6.26,904,915,98.8,91.9618615944,2025-11-30 20:43:11,2025-11-17 00:00:00
FemboyLover_Hybrid,0,0,0,0,9216619.88,19196186.16,19216619.88,19216619.88,19217671.92,18591421.92,-6.26,-0.06256365553946236,14.73158785715098,-6.26,905,916,98.8,92.1661988244,2025-11-30 20:43:33,2025-11-18 00:00:00
FemboyLover_Hybrid,0,0,0,0,9222603.7,19216619.88,19222603.7,19222603.7,19232744.39,18609918.39,-6.26,-0.06256365553946236,14.741152228583566,-6.26,906,919,98.6,92.2260370284,2025-11-30 20:43:49,2025-11-19 00:00:00
FemboyLover_Hybrid,0,0,0,0,9256631.46,19222603.7,19256631.46,19256631.46,19282978.5,18649787.8,-6.26,-0.06256365553946236,14.795541242993913,-6.26,910,926,98.3,92.5663145847,2025-11-30 20:44:05,2025-11-20 00:00:00
FemboyLover_Hybrid,0,0,0,0,9487153.13,19256631.46,19487153.13,19487153.13,19502306.83,18890306.83,-6.26,-0.06256365553946236,15.164000650318828,-6.26,939,959,97.9,94.8715313287,2025-11-30 20:44:30,2025-11-21 00:00:00
FemboyLover_Hybrid,0,0,0,0,9460122.99,19487153.13,19460122.99,19460122.99,19495164.73,18875116.73,-6.26,-0.06256365553946236,15.12079642349331,-6.26,939,961,97.7,94.6012298922,2025-11-30 20:44:48,2025-11-24 00:00:00
FemboyLover_Hybrid,0,0,0,0,9475835.33,19460122.99,19475835.33,19475835.33,19489773.48,18863931.12,-6.26,-0.06256365553946236,15.145910587858413,-6.26,942,967,97.4,94.758353285,2025-11-30 20:45:08,2025-11-25 00:00:00
FemboyLover_Hybrid,0,0,0,0,9530637.17,19475835.33,19530637.17,19530637.17,19594138.52,18941004.36,-6.26,-0.06256365553946236,15.233504316212851,-6.26,967,997,97.0,95.3063716698,2025-11-30 20:45:25,2025-11-26 00:00:00
FemboyLover_Hybrid,0,0,0,0,9782312.17,19530637.17,19782312.17,19782312.17,19794430.01,19183380.01,-6.26,-0.06256365553946236,15.635774611551899,-6.26,969,1000,96.9,97.823121689,2025-11-30 20:45:37,2025-11-27 00:00:00
